x y
63 8
63 8
63 7
63 9
63 8
63 8
63 9
63 10
63 8
63 8
63 8
63 8
63 8
63 10
63 7
63 8
63 8
63 8
63 9
63 10
63 8
63 9
63 8
63 8
63 8
63 8
63 9
63 7
63 8
63 8
63 12
64 14
64 8
64 7
64 7
64 9
64 7
64 8
64 10
64 10
64 8
64 7
64 8
64 8
64 7
64 7
64 10
64 12
64 8
64 7
64 8
64 9
64 8
64 7
64 9
64 10
64 7
64 7
64 8
64 9
64 8
64 8
64 12
65 14
65 10
65 8
65 8
65 8
65 8
65 8
65 7
65 8
65 8
65 9
65 8
65 8
65 8
65 7
65 8
65 8
65 8
65 8
65 9
65 8
65 7
65 8
65 9
65 9
65 8
65 8
65 8
65 8
